case_id,method,source,component_label,component_rank_by_volume,volume_vox,enh_max,enh_mean,candidate_policy,n_metric_components_in_mask,ph_error,ph_h0_max_persistence,ph_h0_second_persistence,ph_h0_n_ge_0_10,ph_h1_max_persistence,ph_h2_max_persistence,ph_downsample_step,ph_crop_voxels,ph_runtime_s
BraTS-GLI-00009-101,variational_spline,prediction_component,1,1,21555,1.0,0.11234024167060852,top5_volume_union_top5_enh,1,,1.0,0.8882277607917786,69,0.5303661227226257,0.09327477216720581,2,73008,0.378578900359571
BraTS-GLI-00046-100,GT_ET,true_et_cohort,1,1,6126,0.8568297624588013,0.05458446964621544,all_components,2,,0.8568297624588013,0.5808060327544808,22,0.1277196854352951,0.0,1,52675,0.25358910020440817
BraTS-GLI-00046-100,GT_ET,true_et_cohort,2,2,61,0.19567786157131195,0.03522520512342453,all_components,2,,0.19567786157131195,0.0,1,0.022393718361854553,0.0,1,810,0.0033574001863598824
BraTS-GLI-00046-100,otsu_T1c,prediction_component,1,1,10577,1.0,0.3524208068847656,top5_volume_union_top5_enh,1,,1.0,0.7938020378351212,46,0.33608879148960114,0.11704633757472038,2,91086,0.46623470028862357
BraTS-GLI-00046-100,gmm_T1c,prediction_component,1,1,11199,1.0,0.34449172019958496,top5_volume_union_top5_enh,1,,1.0,0.7102235555648804,41,0.3118085265159607,0.005218237638473511,2,92684,0.46802249969914556
BraTS-GLI-00046-100,sustraccion,prediction_component,13,1,14700,1.0,0.3416909873485565,top5_volume_union_top5_enh,240,,1.0,0.9700435996055603,53,0.3716944456100464,0.08282066322863102,2,105450,0.5378912999294698
BraTS-GLI-00046-100,sustraccion,prediction_component,45,2,6382,1.0,0.28660330176353455,top5_volume_union_top5_enh,240,,1.0,0.6915388703346252,27,0.286336213350296,0.21579726040363312,1,257742,1.3954710997641087
BraTS-GLI-00046-100,sustraccion,prediction_component,136,3,5078,1.0,0.302093505859375,top5_volume_union_top5_enh,240,,1.0,0.752889409661293,43,0.4862951636314392,0.05196875333786011,1,123750,0.6335770003497601
BraTS-GLI-00046-100,sustraccion,prediction_component,37,4,4224,1.0,0.27386999130249023,top5_volume_union_top5_enh,240,,1.0,0.6330152451992035,14,0.340471088886261,0.02578219771385193,1,154752,0.7943625999614596
BraTS-GLI-00046-100,sustraccion,prediction_component,15,5,3773,1.0,0.4386085867881775,top5_volume_union_top5_enh,240,,1.0,0.7685488164424896,31,0.3890208899974823,0.04859346151351929,1,185500,0.9895502999424934
